iter	MAE	RMSE
0	7.481575376	9.228786441
1	7.270772248	9.000438471
2	7.065613076	8.778641849
3	6.879701702	8.549245482
4	6.712202312	8.339041017
5	6.544368244	8.130627981
6	6.382117201	7.928721438
7	6.233236136	7.745811908
8	6.074993981	7.548637833
9	5.932483565	7.36797753
10	5.780528253	7.190383874
11	5.626742766	7.005659084
12	5.479896143	6.845783814
13	5.324748699	6.663521826
14	5.179370875	6.49962611
15	5.047167668	6.335436753
16	4.907744911	6.184875438
17	4.781343512	6.029415506
18	4.661656937	5.882659662
19	4.539424385	5.736649116
20	4.414200644	5.592735679
21	4.301861979	5.459939126
22	4.185916324	5.323039602
23	4.075800398	5.194113062
24	3.96713425	5.065008613
25	3.868340972	4.937552576
26	3.766604087	4.821160798
27	3.671914758	4.715301187
28	3.577294509	4.596734355
29	3.479547129	4.489854395
30	3.397254378	4.390249598
31	3.307568882	4.284649117
32	3.216039214	4.183254151
33	3.129132837	4.087210933
34	3.0489618	3.989144183
35	2.967125315	3.900284835
36	2.889743149	3.808121905
37	2.810800952	3.723670323
38	2.738089557	3.637544642
39	2.663363331	3.548214887
40	2.591457805	3.465987231
41	2.525796601	3.385121554
42	2.460524779	3.307369839
43	2.399210287	3.231717588
44	2.335051297	3.153458836
45	2.272519346	3.082755466
46	2.211556392	3.008762969
47	2.15111158	2.938483995
48	2.100815428	2.873233158
49	2.046177638	2.809084181
50	1.992384028	2.749223362
51	1.9400028	2.686950506
52	1.894407855	2.62650765
53	1.847563081	2.566353852
54	1.799891321	2.513348575
55	1.75460859	2.459871865
56	1.707366702	2.402986056
57	1.660907021	2.345440534
58	1.617064273	2.289479745
59	1.581980166	2.240018251
60	1.540581765	2.194793196
61	1.506579935	2.146847924
62	1.465885074	2.097364948
63	1.430691741	2.053983749
64	1.402311157	2.014885053
65	1.366523719	1.971931541
66	1.332908238	1.930854078
67	1.299734631	1.891750105
68	1.271853785	1.854364634
69	1.245916181	1.817866331
70	1.219563522	1.783137078
71	1.19513199	1.747154697
72	1.16696121	1.714316205
73	1.143765647	1.680869977
74	1.117771959	1.646314323
75	1.090605503	1.611272326
76	1.069701936	1.581679412
77	1.048147692	1.550725472
78	1.023043553	1.519767447
79	0.9992828647	1.491084222
80	0.9767073433	1.462622962
81	0.9587427533	1.437708928
82	0.9380577563	1.412821047
83	0.9182970413	1.388050915
84	0.8990586705	1.363047149
85	0.8814889444	1.340535605
86	0.8624901828	1.315539055
87	0.8460500543	1.294362927
88	0.8298761291	1.271432567
89	0.8147101895	1.25203127
90	0.7988856926	1.231849579
91	0.7838299156	1.213085551
92	0.7718663015	1.195045218
93	0.7574571426	1.174974229
94	0.7440750571	1.155891513
95	0.7334780966	1.139618835
96	0.7207295548	1.122908973
97	0.7096455071	1.107626632
98	0.6991970992	1.091987702
99	0.6880066928	1.077024183
100	0.6767504667	1.060843834
101	0.6657973003	1.045404455
102	0.6553235932	1.030676743
103	0.6466970072	1.017648062
104	0.6390789674	1.004789828
105	0.6314088448	0.9928260694
106	0.6243464372	0.9812609119
107	0.6167362621	0.9695551694
108	0.6098611339	0.9582028059
109	0.6023512839	0.9478338863
110	0.5955806614	0.9376412702
111	0.5884135615	0.9269414225
112	0.5831855594	0.9179913497
113	0.5762820182	0.9073929914
114	0.5698282829	0.8975775039
115	0.5637529017	0.8887263099
116	0.5575743096	0.879211427
117	0.5530416965	0.8700803258
118	0.5470480546	0.860860343
119	0.5417659249	0.8533286131
120	0.5363615267	0.8450317475
121	0.5315740184	0.8375284693
122	0.5270749896	0.8293609816
123	0.5229725116	0.8219968872
124	0.5192080914	0.8152362041
125	0.5153003104	0.8086055201
126	0.5122658345	0.8024618041
127	0.509021844	0.7964710288
128	0.505077757	0.7897638348
129	0.5019992588	0.783772525
130	0.4990349817	0.7777257812
131	0.4955884462	0.7722276753
132	0.4917642265	0.7659059829
133	0.4887567687	0.7606020959
134	0.4854842202	0.7554574501
135	0.4829427701	0.7506642407
136	0.4800092952	0.7457786571
137	0.477068453	0.7402051527
