iter	Passed	Remaining
0	12	12596
1	16	8183
2	21	7274
3	27	6826
4	32	6554
5	38	6425
6	44	6273
7	49	6158
8	56	6249
9	62	6168
10	68	6123
11	73	6085
12	79	6025
13	85	5991
14	90	5956
15	96	5927
16	102	5901
17	107	5873
18	113	5848
19	118	5821
20	124	5796
21	129	5778
22	135	5758
23	146	5958
24	165	6450
25	190	7121
26	211	7614
27	228	7946
28	240	8054
29	258	8370
30	276	8636
31	295	8929
32	317	9314
33	341	9700
34	359	9913
35	375	10048
36	409	10653
37	442	11193
38	467	11526
39	489	11752
40	507	11869
41	524	11956
42	539	12012
43	557	12103
44	568	12070
45	578	12000
46	587	11910
47	599	11888
48	607	11790
49	617	11738
50	628	11704
51	637	11615
52	657	11747
53	669	11720
54	685	11781
55	701	11825
56	721	11944
57	739	12006
58	754	12028
59	770	12069
60	787	12116
61	803	12151
62	814	12116
63	830	12139
64	848	12208
65	865	12251
66	878	12232
67	889	12190
68	902	12179
69	914	12153
70	923	12089
71	934	12043
72	945	12010
73	957	11983
74	967	11929
75	977	11888
76	987	11841
77	997	11787
78	1005	11726
79	1015	11682
80	1025	11637
81	1035	11595
82	1045	11554
83	1054	11500
84	1060	11420
85	1066	11336
86	1074	11277
87	1083	11228
88	1090	11165
89	1096	11084
90	1102	11013
91	1108	10940
92	1114	10865
93	1123	10830
94	1132	10783
95	1139	10726
96	1144	10656
97	1151	10598
98	1157	10532
99	1162	10465
100	1168	10403
101	1174	10339
102	1181	10290
103	1187	10232
104	1193	10169
105	1198	10110
106	1204	10052
107	1210	9995
108	1215	9938
109	1221	9881
110	1227	9827
111	1232	9775
112	1238	9720
113	1244	9669
114	1249	9616
115	1255	9564
116	1261	9518
117	1266	9467
118	1272	9420
119	1278	9372
120	1283	9324
121	1289	9278
122	1295	9234
123	1300	9190
124	1306	9144
125	1311	9100
126	1317	9057
127	1323	9016
128	1329	8974
129	1334	8931
130	1339	8888
131	1345	8848
132	1351	8809
133	1357	8771
134	1362	8731
135	1368	8691
136	1373	8654
137	1379	8617
138	1385	8579
139	1390	8542
140	1396	8505
141	1401	8469
142	1407	8435
143	1412	8399
144	1418	8364
145	1423	8329
146	1429	8295
147	1436	8269
148	1442	8236
149	1447	8203
150	1453	8174
151	1459	8142
152	1465	8112
153	1471	8084
154	1477	8053
155	1483	8023
156	1488	7992
157	1494	7963
158	1500	7934
159	1505	7905
160	1511	7875
161	1517	7849
162	1522	7820
163	1528	7791
164	1534	7763
165	1539	7736
166	1545	7709
167	1551	7681
168	1557	7659
169	1568	7655
170	1573	7630
171	1579	7605
172	1585	7580
173	1591	7554
174	1597	7530
175	1602	7504
176	1608	7478
177	1614	7454
178	1619	7429
179	1625	7405
180	1631	7380
181	1636	7356
182	1642	7332
183	1647	7308
184	1653	7284
185	1659	7260
186	1664	7237
187	1670	7214
188	1676	7192
189	1682	7171
190	1688	7153
191	1695	7136
192	1704	7125
193	1713	7120
194	1721	7106
195	1730	7098
196	1736	7077
197	1743	7061
198	1748	7038
199	1755	7021
200	1760	6999
201	1766	6979
